"","x","y","Time","AnimalID"
"A4...27",492009.16931519,4320653.95669337,"Post","A4"
"A5b...1",493031.70641722,4316566.38927783,"Post","A5b"
"D3b...2",494282.6017818,4319813.81190892,"Post","D3b"
"F2...28",494271.40367245,4318788.18683054,"Post","F2"
"H2...3",492508.58826041,4319496.31652934,"Post","H2"
"H3...34",492730.34339819,4319229.98912842,"Post","H3"
"H4...4",491702.09808701,4316443.75402474,"Post","H4"
"H5...5",494439.04914661,4314481.32415144,"Post","H5"
"I5...6",492106.52698271,4320729.86617581,"Post","I5"
"J1...7",492202.82785535,4319056.03429266,"Post","J1"
"J2...8",492530.59721442,4319517.55539653,"Post","J2"
"J3...9",495583.67321074,4321659.69422507,"Post","J3"
"J5...10",491613.37284375,4316254.6287308,"Post","J5"
"K1...11",495000.95176286,4318878.28415783,"Post","K1"
"K2...12",492700.19648706,4320492.56977016,"Post","K2"
"K4...29",491681.45003669,4316774.83897592,"Post","K4"
"P4...35",491530.94352675,4320891.1960131,"Post","P4"
"Q5...13",492307.14069269,4320583.09012956,"Post","Q5"
"A4...30",492227.0745389,4320656.71148784,"Pre","A4"
"A5b...14",492976.78405725,4316532.7107449,"Pre","A5b"
"D3b...15",494357.71208615,4319815.09971719,"Pre","D3b"
"F2...31",494208.7866567,4318619.51549048,"Pre","F2"
"H2...16",492595.59945225,4319399.94322628,"Pre","H2"
"H3...36",492617.88440443,4319309.64026678,"Pre","H3"
"H4...17",491658.10293746,4316416.57720208,"Pre","H4"
"H5...18",494725.88279054,4314375.93124969,"Pre","H5"
"I5...19",492093.97823794,4320753.73786376,"Pre","I5"
"J1...20",492254.0088003,4319082.80154,"Pre","J1"
"J2...21",492639.95450355,4319357.02383929,"Pre","J2"
"J3...22",494249.38833862,4320627.27604285,"Pre","J3"
"J5...23",491516.02736671,4316178.70958502,"Pre","J5"
"K1...24",495157.54597753,4319057.88190838,"Pre","K1"
"K2...25",492863.72387042,4320431.82252973,"Pre","K2"
"K4...33",491630.78671644,4316769.86834253,"Pre","K4"
"P4...37",491602.40245661,4321228.57908648,"Pre","P4"
"Q5...26",492389.07344197,4320471.04189079,"Pre","Q5"
